timestamp,open,high,low,close,volume
2024-11-17 00:00:00,90567.7,90680.99,90555.0,90680.99,7.52843037
2024-11-17 00:01:00,90681.0,90726.86,90599.9,90726.86,3.10049998
2024-11-17 00:02:00,90723.42,90731.13,90658.0,90687.32,3.02757589
2024-11-17 00:03:00,90687.32,90731.11,90658.0,90725.75,4.11964727
2024-11-17 00:04:00,90725.74,90737.21,90642.0,90693.16,5.26027424
2024-11-17 00:05:00,90693.17,90704.54,90595.0,90679.7,2.5414928
2024-11-17 00:06:00,90674.0,90713.31,90629.0,90650.0,3.3816128
2024-11-17 00:07:00,90650.0,90727.7,90595.0,90718.07,5.22140073000001
2024-11-17 00:08:00,90728.13,90747.94,90597.0,90631.11,4.58306657
2024-11-17 00:09:00,90634.37,90691.25,90592.0,90679.52,3.16747498
2024-11-17 00:10:00,90673.7,90719.7,90639.0,90690.79,1.68723134
2024-11-17 00:11:00,90688.7,90749.86,90665.0,90730.62,3.65409169
2024-11-17 00:12:00,90732.73,90732.73,90675.0,90706.46,1.42341293
2024-11-17 00:13:00,90712.53,90751.91,90651.0,90740.57,2.33639693
2024-11-17 00:14:00,90741.5,90756.39,90685.0,90729.23,2.74723072
2024-11-17 00:15:00,90729.23,90808.52,90693.0,90808.03,2.98048867
2024-11-17 00:16:00,90808.52,90818.8,90725.0,90775.12,3.61202121
2024-11-17 00:17:00,90775.12,90833.75,90748.0,90814.56,3.13119122
2024-11-17 00:18:00,90804.09,90836.28,90771.0,90836.27,23.48114278
2024-11-17 00:19:00,90836.26,90851.25,90789.0,90824.96,2.66033714
2024-11-17 00:20:00,90824.89,90855.0,90774.0,90853.05,2.2539729
2024-11-17 00:21:00,90831.1,90876.62,90815.0,90862.31,2.1647243
2024-11-17 00:22:00,90854.71,90880.0,90791.0,90879.62,11.24223909
2024-11-17 00:23:00,90879.62,90880.0,90787.0,90800.85,1.53643666
2024-11-17 00:24:00,90801.0,90854.23,90778.0,90846.77,6.07112789000001
2024-11-17 00:25:00,90834.62,90880.0,90783.0,90873.97,8.22894810000001
2024-11-17 00:26:00,90872.13,90897.4,90815.0,90851.3,2.73598152
2024-11-17 00:27:00,90836.41,90872.96,90801.0,90843.47,3.35236113
2024-11-17 00:28:00,90839.83,90896.14,90783.0,90895.49,6.41788155
2024-11-17 00:29:00,90895.49,90895.49,90813.0,90853.58,2.42604611
2024-11-17 00:30:00,90840.1,90909.86,90813.0,90835.93,4.96731357
2024-11-17 00:31:00,90836.41,90867.39,90779.0,90863.66,2.62304591
2024-11-17 00:32:00,90863.39,90867.39,90743.0,90777.2,4.94410105
2024-11-17 00:33:00,90779.44,90840.6,90716.36,90788.77,7.34141284000001
2024-11-17 00:34:00,90793.27,90864.56,90777.0,90784.2,3.26469589
2024-11-17 00:35:00,90853.1,90915.87,90784.2,90904.16,2.45515181
2024-11-17 00:36:00,90903.87,90935.79,90874.0,90910.08,3.11199574
2024-11-17 00:37:00,90918.03,90931.0,90829.0,90868.8,3.32936388
2024-11-17 00:38:00,90869.54,90886.03,90824.0,90870.7,1.14764894
2024-11-17 00:39:00,90885.6,90895.42,90813.0,90865.2,5.25485904
2024-11-17 00:40:00,90874.49,90877.25,90812.0,90851.5,2.71262659
2024-11-17 00:41:00,90866.62,90874.55,90792.0,90829.27,2.39175227
2024-11-17 00:42:00,90807.7,90863.86,90789.0,90831.82,2.86907429
2024-11-17 00:43:00,90831.8,90841.66,90768.0,90807.87,1.94319676
2024-11-17 00:44:00,90810.64,90822.28,90716.0,90719.65,1.54445882
2024-11-17 00:45:00,90731.68,90770.39,90701.0,90766.31,1.89444774
2024-11-17 00:46:00,90750.9,90786.74,90690.0,90745.9,1.30076278
2024-11-17 00:47:00,90746.14,90800.28,90710.0,90800.28,3.53390853
2024-11-17 00:48:00,90800.28,90836.1,90754.2,90820.7,1.90161535
2024-11-17 00:49:00,90826.14,90833.51,90736.0,90752.53,3.28914404
2024-11-17 00:50:00,90759.7,90872.23,90739.0,90872.22,4.0456885
2024-11-17 00:51:00,90872.2,90906.21,90820.6,90848.76,1.32512361
2024-11-17 00:52:00,90849.2,90882.33,90820.0,90865.49,2.9116683
2024-11-17 00:53:00,90865.49,90906.18,90836.0,90875.87,1.6392349
2024-11-17 00:54:00,90874.6,90876.53,90812.0,90849.44,1.45973855
2024-11-17 00:55:00,90848.23,90852.26,90795.0,90842.48,1.61992082
2024-11-17 00:56:00,90846.46,90870.76,90814.84,90831.74,2.31940186
2024-11-17 00:57:00,90828.97,90859.51,90803.0,90856.08,1.46657682
2024-11-17 00:58:00,90841.7,90856.09,90826.0,90843.08,2.74763488
2024-11-17 00:59:00,90850.35,90850.35,90817.0,90849.79,7.50488648000001
2024-11-17 01:00:00,90844.0,90849.86,90797.1,90803.06,4.8295236
2024-11-17 01:01:00,90805.48,90816.39,90740.65,90753.56,4.41038403
2024-11-17 01:02:00,90753.55,90788.6,90741.04,90762.93,3.59285031
2024-11-17 01:03:00,90761.95,90765.99,90704.28,90757.6,5.11902463
2024-11-17 01:04:00,90753.84,90760.12,90684.85,90729.8,14.11423751
2024-11-17 01:05:00,90743.21,90792.72,90674.0,90701.51,3.10669718
2024-11-17 01:06:00,90693.01,90767.92,90670.0,90758.79,9.46418691999999
2024-11-17 01:07:00,90758.81,90868.91,90689.9,90832.74,5.14040441
2024-11-17 01:08:00,90832.74,90901.36,90824.8,90888.99,2.00832963
2024-11-17 01:09:00,90877.05,90907.61,90820.2,90821.69,2.93533682
2024-11-17 01:10:00,90821.72,90833.0,90750.3,90765.63,1.38919974
2024-11-17 01:11:00,90765.64,90785.21,90726.87,90752.9,1.54332116
2024-11-17 01:12:00,90741.04,90770.42,90720.6,90735.93,0.80893676
2024-11-17 01:13:00,90728.15,90742.06,90706.0,90714.47,2.32234532
2024-11-17 01:14:00,90714.45,90758.51,90693.99,90748.0,0.96729509
2024-11-17 01:15:00,90748.0,90877.34,90727.0,90838.24,9.86890572999999
2024-11-17 01:16:00,90822.18,90854.81,90783.94,90841.28,1.5888296
2024-11-17 01:17:00,90831.77,90839.11,90731.0,90785.84,2.7450173
2024-11-17 01:18:00,90785.85,90823.33,90731.9,90739.99,1.70539051
